Fechas,TEMP-EXT,TEMP-INT,HUM-INT,HUM-EXT
2017-03-29 12:25:25,42.22,37.83,36.28,24.37
2017-03-29 12:55:32,42.55,38.16,35.03,23.74
2017-03-29 13:25:39,43.05,38.24,36.04,22.83
2017-03-29 13:55:46,42.86,38.86,36.12,23.06
2017-03-29 14:25:54,43.63,38.92,32.09,20.97
2017-03-29 14:56:01,44.77,39.19,33.07,20.11
2017-03-29 15:26:08,44.63,39.42,32.37,20.77
2017-03-29 15:56:16,45.09,39.56,33.36,19.7
2017-03-29 16:26:23,44.52,39.3,30.88,20.13
2017-03-29 16:56:30,42.58,38.94,30.06,20.81
2017-03-29 17:26:37,41.89,38.67,31.18,21.63
2017-03-29 17:56:46,41.29,38.53,32.95,22.08
2017-03-29 18:26:53,40.11,38.04,32.66,23.62
2017-03-29 18:57:00,39.39,37.83,35.41,24.35
2017-03-29 19:27:08,38.39,37.65,32.06,26.31
2017-03-29 19:57:15,37.21,37.22,35.54,28.82
2017-03-29 20:27:22,35.79,36.62,36.02,31.81
2017-03-29 20:57:29,35.17,36.36,37.81,35.1
2017-03-29 21:27:36,34.9,36.02,41.94,36.69
2017-03-29 21:57:43,33.23,35.66,39.49,41.59
2017-03-29 22:27:50,32.18,35.21,43.11,44.99
2017-03-29 22:57:58,32.37,34.88,43.48,43.95
2017-03-29 23:28:04,31.59,34.67,44.67,47.32
2017-03-29 23:58:12,31.82,34.58,56.3,47.07
2017-03-30 00:28:19,31.62,34.47,54.75,50
2017-03-30 00:58:26,30.69,34.28,47.71,53.98
2017-03-30 01:28:33,31.17,34.26,55.87,53.22
2017-03-30 01:58:40,31.36,34.19,49.87,53.44
2017-03-30 02:28:47,30.78,34.16,54.34,54.95
2017-03-30 02:58:54,30.09,34.06,53.62,58
2017-03-30 03:29:01,29.8,33.85,54.34,58.73
2017-03-30 03:59:08,30.08,33.82,54.87,57.97
2017-03-30 04:29:15,30.25,33.84,56.96,57.8
2017-03-30 04:59:22,29.91,33.79,58.14,57.78
2017-03-30 05:29:38,29.67,33.49,54.88,58.94
2017-03-30 05:59:45,30.1,33.51,55.81,56.04
2017-03-30 06:29:53,29.33,33.62,58.52,58.63
2017-03-30 07:00:00,29.17,33.38,60.32,59.76
2017-03-30 07:30:07,30.15,33.36,60.07,58.02
2017-03-30 08:00:14,30.88,33.26,57.72,56.89
2017-03-30 08:30:22,31.46,33.3,55.4,56.09
2017-03-30 09:00:29,32.37,33.29,52.88,51.37
2017-03-30 09:30:36,32.88,33.69,50.24,48.76
2017-03-30 10:00:43,36.56,34.22,50.28,40.68
2017-03-30 10:30:50,37.97,34.97,47.4,37.58
2017-03-30 11:00:57,38.37,35.9,44.53,35.99
2017-03-30 11:31:05,40.5,36.3,44.08,31.22
2017-03-30 12:01:12,41.07,37.47,42.98,30.82
2017-03-30 12:31:19,41.66,37.59,43.18,28.94
2017-03-30 13:01:26,42.89,38.7,36.95,26.11
2017-03-30 13:31:33,44.7,39.29,36.5,24.35
2017-03-30 14:01:41,42.2,38.9,35.97,26.91
2017-03-30 14:31:48,44.89,38.48,41.27,24.62
2017-03-30 15:01:55,45.89,38.89,39.47,23.24
2017-03-30 15:32:02,45.58,39.92,34.24,22.58
2017-03-30 16:02:09,45.81,40.03,33.47,22.66
2017-03-30 16:32:17,44.83,40.42,33.77,23.01
2017-03-30 17:32:34,42.34,39.38,41.52,27.59
2017-03-30 18:02:41,39.15,39.02,37.18,33.49
2017-03-30 18:32:48,37.68,38.06,36.87,34.73
2017-03-30 19:02:55,36.83,37.16,39.52,36.07
2017-03-30 19:33:03,35.79,36.81,38.71,37.95
2017-03-30 20:03:10,36.33,36.53,39.72,37.11
2017-03-30 20:33:18,36.45,36.52,42.39,36.57
2017-03-30 21:03:25,36.02,36.52,40.43,37.88
2017-03-30 21:33:32,35.32,36.4,41.51,39.59
2017-03-30 22:03:39,35.65,36.23,42.62,38.6
2017-03-30 22:33:46,35.44,36.06,42.97,38.87
2017-03-30 23:03:53,34.55,35.91,45.25,40.23
2017-03-30 23:34:00,33.24,35.83,47.9,43.44
2017-03-31 00:04:07,33.87,35.61,46.07,41.91
2017-03-31 00:34:14,33.12,35.43,47.21,44.39
2017-03-31 01:04:21,33.06,35.26,51.91,44.27
2017-03-31 01:34:28,33.17,35.17,51.77,43.46
2017-03-31 02:04:36,32.97,35.01,51.87,45.43
2017-03-31 02:34:43,33,34.94,51.36,45.55
2017-03-31 03:04:50,32.6,34.94,51.14,47.32
2017-03-31 03:34:57,32.66,34.84,50.38,45.99
2017-03-31 04:05:04,32.55,34.84,55.87,46.02
2017-03-31 04:35:11,32.17,34.71,55.27,45.55
2017-03-31 05:05:18,31.73,34.47,55.91,48.22
2017-03-31 05:35:26,31.45,34.38,57.57,49.2
2017-03-31 06:05:33,31.08,34.34,53.56,52.44
2017-03-31 06:35:40,31.32,34.23,58.05,51.59
2017-03-31 07:05:47,31.39,34.13,55.9,51.3
2017-03-31 07:35:54,31.57,34.13,54.82,53.05
2017-03-31 08:06:01,32.55,34.19,53.87,51.81
2017-03-31 08:36:08,33.41,34.42,55.26,51.32
2017-03-31 09:06:15,35.68,34.64,52.66,46.43
2017-03-31 09:36:22,36.69,35,49.68,43.41
2017-03-31 10:06:29,39.26,35.64,48.05,37.29
2017-03-31 10:36:37,40.57,36.98,44.36,35.45
2017-03-31 11:06:44,40.29,38.35,41.31,34.35
2017-03-31 11:36:51,43.09,38.23,42.73,31.01
2017-03-31 12:06:59,44.24,39.2,40.27,27.69
